X,Y,施設名
135.490694,34.65823525,大阪市立栄小学校
135.5082651,34.60578269,大阪市立大空小学校
135.490589,34.66141897,大阪市立塩草立葉小学校
135.5482521,34.70159592,大阪市立鯰江小学校
135.5411724,34.69116942,大阪市立鴫野小学校
135.5429141,34.71754403,大阪市立高殿小学校
135.4529918,34.72062492,大阪市立香簑小学校
135.497133,34.66517208,大阪市立難波元町小学校
135.5122752,34.62460011,大阪市立阪南小学校
135.4923583,34.64812789,大阪市立長橋小学校
135.5780279,34.60482517,大阪市立長吉南小学校
135.495,34.59759211,大阪市立遠里小野小学校
135.5153751,34.71343297,大阪市立豊崎東小学校
135.5005563,34.64747792,大阪市立萩之茶屋小学校
135.5219609,34.65178108,大阪市立聖和小学校
135.476772,34.72076703,大阪市立神津小学校
135.4810078,34.69223303,大阪市立玉川小学校
135.4924168,34.60196108,大阪市立清水丘小学校
135.4552643,34.68237194,大阪市立梅香小学校
135.4966331,34.62410003,大阪市立晴明丘南小学校
135.5082692,34.65814711,大阪市立日東小学校
135.5171362,34.64137789,大阪市立常盤小学校
135.5539418,34.73254414,大阪市立太子橋小学校
135.4903033,34.67476703,大阪市立堀江小学校
135.5481308,34.69104717,大阪市立城東小学校
135.5298281,34.72762794,大阪市立城北小学校
135.5553829,34.61144211,大阪市立喜連小学校
135.4857172,34.72340589,大阪市立十三小学校
135.4831078,34.65151689,大阪市立北津守小学校
135.435381,34.71351383,大阪市立佃南小学校
135.5121284,34.68526392,大阪市立中大江小学校
135.4878779,34.73842819,大阪市立三国小学校
135.498911,34.59687817,建国小学校
135.5001359,34.59654392,大阪市立山之内小学校
135.4775279,34.60255594,大阪市立敷津浦小学校
135.4882222,34.60436417,大阪市立安立小学校
135.508183,34.59693289,大阪市立依羅小学校
135.5138059,34.59457211,大阪市立苅田南小学校
135.502853,34.60493092,大阪市立南住吉小学校
135.5161782,34.60195,大阪市立苅田小学校
135.5207441,34.60384214,大阪市立苅田北小学校
135.5253861,34.60448097,大阪市立矢田西小学校
135.5281114,34.60323917,大阪市立矢田小学校
135.5375862,34.60292194,大阪市立矢田東小学校
135.5446442,34.6042,大阪市立瓜破西小学校
135.5511532,34.60491908,大阪市立瓜破北小学校
135.552911,34.602675,大阪市立瓜破小学校
135.5693892,34.59685303,大阪市立川辺小学校
135.5773892,34.59957494,大阪市立長原小学校
135.4260033,34.62692194,大阪市立南港渚小学校
135.4275219,34.62765597,大阪市立南港緑小学校
135.4233831,34.63384683,大阪市立南港光小学校
135.4559421,34.60904403,大阪市立平林小学校
135.4633862,34.60576714,大阪市立新北島小学校
135.4804082,34.60791394,大阪市立清江小学校
135.479219,34.60993311,大阪市立住之江小学校
135.4952782,34.60802483,大阪市立墨江小学校
135.4780831,34.61510283,大阪市立住吉川小学校
135.4945223,34.61963094,大阪市立東粉浜小学校
135.4902939,34.61830283,大阪市立粉浜小学校
135.4962753,34.61796092,大阪市立住吉小学校
135.4795222,34.62254394,大阪市立加賀屋小学校
135.4842748,34.62016911,大阪市立加賀屋東小学校
135.4905809,34.62312794,大阪市立北粉浜小学校
135.4983579,34.62064186,帝塚山学院小学校
135.4917748,34.62482186,大阪市立玉出小学校
135.4853857,34.62801892,大阪市立南津守小学校
135.4883859,34.631503,大阪市立千本小学校
135.4915612,34.63387492,大阪市立岸里小学校
135.4074984,34.63927447,金剛学園小学校
135.4208357,34.63541894,大阪市立南港桜小学校
135.4363061,34.65304989,大阪市立築港小学校
135.4462167,34.65512783,大阪市立八幡屋小学校
135.4440581,34.65635817,大阪市立港晴小学校
135.4475777,34.66351703,大阪市立田中小学校
135.4528557,34.638239,大阪市立鶴浜小学校
135.4560533,34.63955606,大阪市立鶴町小学校
135.4692188,34.63661114,大阪市立南恩加島小学校
135.4739423,34.64068317,大阪市立平尾小学校
135.4739693,34.64654417,大阪市立小林小学校
135.4845112,34.64065286,大阪市立津守小学校
135.5013472,34.63714219,大阪市立天下茶屋小学校
135.4914999,34.63907789,大阪市立橘小学校
135.488144,34.64509383,大阪市立松之宮小学校
135.489003,34.64243106,大阪市立梅南小学校
135.4968858,34.64421106,大阪市立弘治小学校
135.5000422,34.642417,大阪市立今宮小学校
135.4511498,34.65551097,大阪市立池島小学校
135.468161,34.65454406,大阪市立北恩加島小学校
135.4744887,34.653797,大阪市立泉尾東小学校
135.4528813,34.65932494,大阪市立三先小学校
135.4706168,34.66046692,大阪市立泉尾北小学校
135.4694,34.65933306,大阪市立中泉尾小学校
135.4642749,34.66345311,大阪市立市岡小学校
135.4965111,34.653494,大阪市立大国小学校
135.4988079,34.65598317,大阪市立敷津小学校
135.4794582,34.66057183,大阪市立三軒家東小学校
135.5139171,34.60871097,大阪市立長居小学校
135.5294003,34.61225611,大阪市立鷹合小学校
135.5074971,34.61568281,大阪市立大領小学校
135.5219582,34.61761717,大阪市立南田辺小学校
135.5378705,34.60856567,城南短期大学附属小学校
135.5364779,34.60890283,大阪市立矢田北小学校
135.5393972,34.61049686,大阪市立湯里小学校
135.5349168,34.61521114,大阪市立南百済小学校
135.5448389,34.61254186,大阪市立喜連西小学校
135.5503501,34.61442194,大阪市立喜連北小学校
135.5508608,34.61898889,大阪教育大学教育学部附属平野小学校
135.5173471,34.62274686,大阪市立長池小学校
135.5278581,34.62018317,大阪市立東田辺小学校
135.5260221,34.62588892,大阪市立田辺小学校
135.5043191,34.63218597,大阪市立晴明丘小学校
135.5129968,34.63226692,大阪市立阿倍野小学校
135.5246969,34.63300606,大阪市立北田辺小学校
135.5354437,34.62715589,大阪市立今川小学校
135.5417222,34.62426708,大阪市立新平野西小学校
135.5477219,34.62521106,大阪市立平野西小学校
135.5545441,34.62722503,大阪市立平野小学校
135.5607438,34.60700303,大阪市立瓜破東小学校
135.5692781,34.60588103,大阪市立長吉小学校
135.5762499,34.60829692,大阪市立長吉東小学校
135.5612498,34.61365786,大阪市立喜連東小学校
135.5580833,34.61818603,大阪市立平野南小学校
135.5702307,34.61311706,大阪市立長吉出戸小学校
135.5862501,34.60674203,大阪市立長吉六反小学校
135.5715829,34.62718583,大阪市立加美東小学校
135.5702503,34.62433289,大阪市立加美南部小学校
135.5634394,34.63076567,大阪市立加美小学校
135.5085252,34.63696111,大阪市立丸山小学校
135.5163581,34.63571089,大阪市立苗代小学校
135.5177689,34.64154381,大阪市立常盤小学校分校
135.5075921,34.64280317,大阪市立金塚小学校
135.5189311,34.64455286,大阪教育大学教育学部附属天王寺小学校
135.5251921,34.64382194,大阪市立高松小学校
135.5308468,34.63569389,大阪市立桑津小学校
135.5376333,34.634906,大阪市立育和小学校
135.5486779,34.63858083,大阪市立巽南小学校
135.5326113,34.64480597,大阪市立林寺小学校
135.5376751,34.64236417,大阪市立生野南小学校
135.5364893,34.64827494,大阪市立生野小学校
135.5431688,34.648667,大阪市立田島小学校
135.5515393,34.64601689,大阪市立巽小学校
135.5027473,34.65296086,大阪市立恵美小学校
135.5153279,34.65282489,大阪市立天王寺小学校
135.5145861,34.65632789,大阪市立大江小学校
135.5287252,34.65133289,大阪市立西生野小学校
135.5274579,34.65389417,大阪市立勝山小学校
135.5067971,34.66220294,大阪市立日本橋小学校
135.519464,34.65915314,大阪市立五条小学校
135.5171079,34.66323883,大阪市立生魂小学校
135.5280467,34.66140606,大阪市立桃陽小学校
135.5390893,34.65250603,大阪市立舎利寺小学校
135.533314,34.65592514,大阪市立東桃谷小学校
135.5473863,34.65418603,大阪市立北巽小学校
135.5325143,34.65904194,大阪市立鶴橋小学校
135.5380719,34.65969217,大阪市立御幸森小学校
135.534683,34.66399397,大阪市立北鶴橋小学校
135.544083,34.65969403,大阪市立中川小学校
135.5499721,34.65950597,大阪市立東中川小学校
135.5548581,34.66065606,大阪市立小路小学校
135.5602783,34.63651911,大阪市立加美北小学校
135.5578562,34.649733,大阪市立巽東小学校
135.5598437,34.65886903,大阪市立東小路小学校
135.6245615,34.56201328,大阪市立長谷川小学校
135.4392894,34.67782806,大阪市立島屋小学校
135.4416892,34.68559706,大阪市立酉島小学校
135.457047,34.66514992,大阪市立磯路小学校
135.4555581,34.668669,大阪市立弁天小学校
135.468578,34.66571403,大阪市立南市岡小学校
135.4625582,34.671953,大阪市立波除小学校
135.472578,34.67296108,大阪市立九条南小学校
135.4679919,34.67721897,大阪市立九条北小学校
135.4723058,34.67541714,大阪市立九条東小学校
135.477022,34.66498883,大阪市立三軒家西小学校
135.4840079,34.67091389,大阪市立日吉小学校
135.4523282,34.68015617,大阪市立春日出小学校
135.4542692,34.68512208,大阪市立四貫島小学校
135.4646441,34.68259392,大阪市立西九条小学校
135.4736331,34.68582197,大阪市立野田小学校
135.4514112,34.68998614,大阪市立伝法小学校
135.4603248,34.69055303,大阪市立高見小学校
135.4729668,34.69004189,大阪市立吉野小学校
135.4706329,34.69262781,大阪市立大開小学校
135.4818028,34.68174406,大阪市立本田小学校
135.487733,34.68067217,大阪市立明治小学校分校
135.4916562,34.68054217,大阪市立明治小学校
135.4832722,34.69365594,大阪市立福島小学校
135.4936363,34.68825808,大阪市立西船場小学校
135.4418219,34.69814986,大阪市立福小学校
135.4296031,34.70448608,大阪市立川北小学校
135.4370667,34.70428892,大阪市立出来島小学校
135.4447999,34.70602217,大阪市立大和田小学校
135.4442171,34.71490317,大阪市立佃西小学校
135.4471027,34.717125,大阪市立佃小学校
135.475217,34.69893311,大阪市立海老江東小学校
135.4697166,34.69757194,大阪市立海老江西小学校
135.4554112,34.70176689,大阪市立姫島小学校
135.4585218,34.70665617,大阪市立姫里小学校
135.4852173,34.69718308,大阪市立上福島小学校
135.4791058,34.69890614,大阪市立鷺洲小学校
135.4827002,34.70368592,大阪市立大淀小学校
135.4609392,34.71109692,大阪市立野里小学校
135.4614668,34.714044,大阪市立歌島小学校
135.4655941,34.71024697,大阪市立柏里小学校
135.4564252,34.71720586,大阪市立御幣島小学校
135.472161,34.71623892,大阪市立塚本小学校
135.4700219,34.72137803,大阪市立田川小学校
135.4939469,34.71346397,大阪市立中津小学校
135.5003643,34.71238108,大阪市立豊崎小学校
135.5105747,34.66580786,大阪市立高津小学校
135.5127253,34.67108086,大阪市立中央小学校
135.5281862,34.66731694,大阪市立味原小学校
135.5041668,34.67323886,大阪市立南小学校
135.5275798,34.67177792,大阪市立真田山小学校
135.5296421,34.67864697,大阪市立玉造小学校
135.5289536,34.6783485,城星学園小学校
135.5329919,34.66704211,大阪市立東小橋小学校
135.5406173,34.66730808,大阪市立大成小学校
135.5465671,34.66633317,大阪市立片江小学校
135.5501473,34.66931917,大阪市立神路小学校
135.537797,34.67252483,大阪市立中道小学校
135.5392193,34.67648908,大阪市立中本小学校
135.5448167,34.67187508,大阪市立今里小学校
135.5557609,34.67238594,大阪市立深江小学校
135.5546169,34.67748308,大阪市立宝栄小学校
135.5148078,34.68030319,大阪市立南大江小学校
135.5083918,34.69043892,大阪市立開平小学校
135.520988,34.68928075,追手門学院小学校
135.5375249,34.679406,大阪市立北中道小学校
135.5373968,34.68343531,大阪市立森之宮小学校
135.5456077,34.67928892,大阪市立東中本小学校
135.543639,34.68564397,大阪市立中浜小学校
135.5486563,34.68401,大阪市立東中浜小学校
135.5583581,34.68687792,大阪市立諏訪小学校
135.5771641,34.69323903,大阪市立今津小学校
135.5067533,34.69666089,大阪市立西天満小学校
135.5131059,34.69815797,大阪市立堀川小学校
135.5189473,34.69630011,大阪市立滝川小学校
135.5273561,34.69659997,大阪市立桜宮小学校
135.5067782,34.70477817,大阪市立扇町小学校
135.5241923,34.70298914,大阪市立中野小学校
135.5282192,34.70726689,大阪市立都島小学校
135.5430252,34.69737806,大阪市立聖賢小学校
135.555583,34.69463903,大阪市立放出小学校
135.5513358,34.69636694,大阪市立今福小学校
135.5546923,34.70046114,大阪市立鯰江東小学校
135.5341919,34.70809989,大阪市立東都島小学校
135.5435528,34.70640581,大阪市立成育小学校
135.5137251,34.70851897,大阪市立菅北小学校
135.5059583,34.71276689,大阪市立豊崎本庄小学校
135.5139333,34.716744,大阪市立豊仁小学校
135.5223779,34.71690311,大阪市立友渕小学校分校
135.5261138,34.7195,大阪市立友渕小学校
135.5215223,34.72165603,大阪市立淀川小学校
135.5252999,34.72312792,大阪市立大東小学校
135.5391519,34.70914703,大阪市立榎並小学校
135.5393561,34.71390592,大阪市立高殿南小学校
135.5373558,34.71346103,大阪市立内代小学校
135.5534143,34.71065608,大阪市立関目東小学校
135.5504929,34.71465614,大阪市立関目小学校
135.5335613,34.71821414,大阪市立高倉小学校
135.5416609,34.72282186,大阪市立大宮西小学校
135.5370223,34.72301717,大阪市立生江小学校
135.551356,34.72276686,大阪市立古市小学校
135.5683328,34.69476089,大阪市立榎本小学校
135.5656082,34.69912808,大阪市立鶴見南小学校
135.5779282,34.69884189,大阪市立茨田南小学校
135.570067,34.70148881,大阪市立横堤小学校
135.5644137,34.70537783,大阪市立鶴見小学校
135.5731642,34.70737803,大阪市立茨田西小学校
135.5903862,34.70285289,大阪市立茨田小学校
135.5587752,34.71073914,大阪市立すみれ小学校
135.5640249,34.71046111,大阪市立みどり小学校
135.5614688,34.716075,大阪市立新森小路小学校
135.5617187,34.72323903,大阪市立清水小学校
135.5856579,34.70918914,大阪市立茨田北小学校
135.5954857,34.70871908,大阪市立茨田東小学校
135.5840713,34.71605764,大阪市立焼野小学校
135.4583359,34.72886092,大阪市立加島小学校
135.473439,34.72826694,大阪市立三津屋小学校
135.480392,34.727886,大阪市立野中小学校
135.4945688,34.72345611,大阪市立木川南小学校
135.4921332,34.72662792,大阪市立木川小学校
135.4942999,34.73007206,大阪市立西中島小学校
135.4799029,34.73278592,大阪市立新高小学校
135.4857671,34.73296717,大阪市立宮原小学校
135.496117,34.73946092,大阪市立北中島小学校
135.4914251,34.74475803,大阪市立西三国小学校
135.4955753,34.74453103,大阪市立東三国小学校
135.4999668,34.74529392,大阪市立新東三国小学校
135.5072828,34.73253603,大阪市立啓発小学校
135.5185282,34.73605594,大阪市立東淡路小学校
135.5459937,34.72715619,大阪市立大宮小学校
135.5099111,34.73978608,大阪市立西淡路小学校
135.5111939,34.742944,大阪市立淡路小学校
135.5230173,34.73957792,大阪市立菅原小学校
135.5205561,34.74604386,大阪市立下新庄小学校
135.5441167,34.73944394,大阪市立豊里南小学校
135.5440534,34.741767,大阪市立豊里小学校
135.5502753,34.74283586,大阪市立大道南小学校
135.5322967,34.748428,大阪市立新庄小学校
135.5357469,34.74568292,大阪市立豊新小学校
135.5483579,34.74804417,大阪市立大桐小学校
135.5459189,34.75092203,大阪市立大隅西小学校
135.5395393,34.75487811,大阪市立小松小学校
135.5518862,34.75340606,大阪市立大隅東小学校
135.543889,34.76228083,大阪市立井高野小学校
135.5490747,34.76525006,大阪市立東井高野小学校
135.5140809,34.809517,大阪市立弘済小学校
135.5778689,34.86619783,大阪市立弘済小学校分校
135.5069589,34.73219625,大阪市立中島中学校
135.5527189,34.70198917,大阪市立鯰江中学校
135.5237469,34.671492,大阪市立高津中学校
135.5065532,34.62593289,大阪市立阪南中学校
135.5663608,34.60049183,大阪市立長吉西中学校
135.5180667,34.68288311,大阪市立東中学校
135.5224082,34.64001392,大阪市立文の里中学校
135.511111,34.59321108,大阪市立我孫子南中学校
135.4904219,34.63385311,大阪市立成南中学校
135.5558579,34.68187814,大阪市立城東中学校
135.5381487,34.70128794,開明中学校
135.4623251,34.68546003,昇陽中学校
135.4968777,34.59761911,大阪市立大和川中学校
135.5113812,34.60469208,大阪市立我孫子中学校
135.5197611,34.60347503,大阪市立東我孫子中学校
135.5285278,34.60362808,大阪市立矢田南中学校
135.5408612,34.60184683,大阪市立矢田中学校
135.5455531,34.60241914,大阪市立瓜破西中学校
135.4255559,34.62869711,大阪市立南港南中学校
135.4588863,34.60717492,大阪市立新北島中学校
135.4786746,34.60593906,大阪市立住之江中学校
135.4944974,34.60612797,大阪市立墨江丘中学校
135.499772,34.60736383,大阪市立三稜中学校
135.4777638,34.61323311,大阪市立真住中学校
135.4767969,34.618878,大阪市立加賀屋中学校
135.495258,34.61884694,大阪市立住吉中学校
135.4878173,34.62139406,大阪市立住吉第一中学校
135.487667,34.62669981,大阪市立玉出中学校
135.4074984,34.63927447,金剛学園中学校
135.4232167,34.63587497,大阪市立南港北中学校
135.4378031,34.65268892,大阪市立築港中学校
135.4483828,34.65793283,大阪市立港中学校
135.4649581,34.63654683,大阪市立大正西中学校
135.4716893,34.64392506,大阪市立大正中央中学校
135.4935811,34.63879406,大阪市立天下茶屋中学校
135.4878031,34.64254708,大阪市立梅南中学校
135.486331,34.64865589,大阪市立鶴見橋中学校
135.4983531,34.64833297,大阪市立今宮中学校
135.4688563,34.65018303,大阪市立大正北中学校
135.4566192,34.66043108,大阪市立港南中学校
135.4997498,34.65355017,大阪市立木津中学校
135.4775421,34.66206106,大阪市立大正東中学校
135.4913032,34.66247817,大阪市立難波中学校
135.5240441,34.60522481,大阪市立矢田西中学校
135.5073859,34.61348892,大阪市立大領中学校
135.5127751,34.61621106,大阪学芸中等教育学校
135.522642,34.61588094,大阪市立田辺中学校
135.5379547,34.60783,城南学園中学校
135.553039,34.60673094,大阪市立瓜破中学校
135.5481113,34.61168608,大阪市立喜連中学校
135.5508689,34.61830617,大阪教育大学教育学部附属平野中学校
135.518386,34.62957192,大阪市立阿倍野中学校
135.5209422,34.62732186,大阪市立昭和中学校
135.5166606,34.62926294,桃山学院中学校
135.5393668,34.62005008,大阪市立中野中学校
135.5426109,34.623767,大阪市立平野中学校
135.5458812,34.62021903,大阪市立摂陽中学校
135.5353783,34.63154697,大阪市立白鷺中学校
135.5533253,34.62784706,大阪市立平野北中学校
135.5755,34.60535311,大阪市立長吉中学校
135.5857752,34.60909211,大阪市立長吉六反中学校
135.5698332,34.62363097,大阪市立加美南中学校
135.5622422,34.63073575,大阪市立加美中学校
135.505108,34.63508117,大阪市立松虫中学校
135.5319861,34.63564697,大阪市立東住吉中学校
135.549867,34.639814,大阪市立新巽中学校
135.5431997,34.64388292,大阪市立田島中学校
135.5527001,34.64720819,大阪市立巽中学校
135.5173249,34.64944406,大阪市立天王寺中学校
135.503547,34.65884981,大阪市立日本橋中学校
135.5194499,34.66057517,大阪市立夕陽丘中学校
135.5302061,34.65076683,大阪市立生野中学校
135.5335532,34.65504397,大阪市立勝山中学校
135.5423313,34.65598908,大阪市立大池中学校
135.5373692,34.657178,大阪市立鶴橋中学校
135.5503063,34.66100592,大阪市立東生野中学校
135.5579472,34.65231094,大阪市立新生野中学校
135.6245339,34.56201328,大阪市立長谷川中学校
135.4450222,34.68162511,大阪市立梅香中学校
135.4616332,34.66657183,大阪市立市岡中学校
135.4649109,34.66729403,大阪市立市岡東中学校
135.4574109,34.67887817,大阪市立春日出中学校
135.478583,34.67150603,大阪市立西中学校
135.4894942,34.67065606,大阪市立堀江中学校
135.4618575,34.68027881,大阪市立咲くやこの花中学校
135.4551329,34.69009694,大阪市立此花中学校
135.4685753,34.68723283,大阪市立野田中学校
135.4994345,34.68383456,相愛中学校
135.4819389,34.68848892,大阪市立下福島中学校
135.4890219,34.68638892,大阪市立花乃井中学校
135.446272,34.70270811,大阪市立西淀中学校
135.4402717,34.70576406,大阪市立淀中学校
135.4458644,34.71640286,大阪市立佃中学校
135.4777718,34.70087806,大阪市立八阪中学校
135.4865331,34.70368592,大阪市立大淀中学校
135.4614391,34.71493306,大阪市立歌島中学校
135.475564,34.71546692,大阪市立新北野中学校
135.508728,34.67391411,大阪市立南中学校
135.5183833,34.67229692,大阪市立上町中学校
135.5271594,34.67651642,大阪女学院中学校
135.5289536,34.6783485,城星学園中学校
135.5377506,34.67107864,大阪市立玉津中学校
135.5536642,34.67484386,大阪市立相生中学校
135.5464613,34.67628889,大阪市立本庄中学校
135.5213761,34.69011908,追手門学院大手前中学校
135.5595533,34.67760017,大阪市立東陽中学校
135.5573469,34.69081711,大阪市立放出中学校
135.5680397,34.69243653,大阪市立今津中学校
135.5207441,34.69863583,大阪市立北稜中学校
135.506758,34.703231,大阪市立天満中学校
135.5257722,34.70257186,大阪市立都島中学校
135.5418583,34.69437794,大阪市立城陽中学校
135.5365998,34.70207483,大阪市立桜宮中学校
135.5451078,34.70540589,大阪市立蒲生中学校
135.5174468,34.71343592,大阪市立新豊崎中学校
135.5089328,34.71614994,大阪市立豊崎中学校
135.526353,34.71593619,大阪市立友渕中学校
135.519272,34.72212783,大阪市立淀川中学校
135.5326059,34.71268308,大阪市立高倉中学校
135.5397192,34.71848917,大阪市立旭陽中学校
135.5694418,34.70229714,大阪市立横堤中学校
135.5576083,34.70707489,大阪市立菫中学校
135.5776142,34.70376383,大阪市立茨田中学校
135.5646077,34.70868586,大阪市立緑中学校
135.5613859,34.71826692,大阪市立旭東中学校
135.5880753,34.71092781,大阪市立茨田北中学校
135.4629193,34.72841386,大阪市立美津島中学校
135.4847437,34.72454403,大阪市立十三中学校
135.4926749,34.73738103,大阪市立宮原中学校
135.4880221,34.74071103,大阪市立三国中学校
135.4967059,34.74474989,大阪市立東三国中学校
135.5120563,34.72716911,大阪市立柴島中学校
135.5412216,34.72667814,大阪市立大宮中学校
135.5499108,34.73234997,大阪市立今市中学校
135.5099893,34.74330311,大阪市立淡路中学校
135.5294272,34.74594569,関西大学北陽中学校
135.5339783,34.739761,大阪市立新東淀中学校
135.5375356,34.74407192,大阪市立東淀中学校
135.5488611,34.74883911,大阪市立大桐中学校
135.5449252,34.75261703,大阪市立瑞光中学校
135.5479691,34.764794,大阪市立井高野中学校
135.5140943,34.80952806,大阪市立弘済中学校
135.577848,34.86624319,大阪市立弘済中学校分校